Species	Commodities
Sweet potato ringspot virus	Sweet potato
Sweet potato vein mosaic virus	Sweet potato
Sweet potato virus	Sweet potato
Sweet potato virus 2	Sweet potato
Sweet potato virus C6	Sweet potato
Sweet potato yellow dwarf virus	Sweet potato
Taro bacilliform CH virus	Taro
Taro reovirus	Taro
Taro vein chlorosis rhabdovirus	Taro
Taro vein chlorosis virus	Taro
Taro virus	Taro
Tobacco necrosis alphanecrovirus	Vitis/Hops/Rubus/Stonefruit
Tobacco necrosis virus	Vitis/Hops/Rubus/Stonefruit
Tobacco necrosis virus A	Potato
Tobacco necrosis virus D	Potato/Fragaria
Tomato black ring nepovirus	Ribes/Vitis/Lupins/Potato/Rubus/Stonefruit/Fragaria
Tomato black ring virus	Ribes/Vitis/Lupins/Potato/Rubus/Stonefruit/Fragaria
Tomato bushy stunt tombusvirus	Pome
Tomato bushy stunt virus	Pome
Tomato chlorosis virus	Potato
Tomato chlorotic spot virus	Catharanthus roseus/Potato
Tomato leaf curl Albatinah begomovirus	Papaya
Tomato leaf curl Albatinah virus	Papaya
Tomato leaf curl New Delhi virus	Potato
Tomato mottle Taino virus	Potato
Tomato ring spot virus	Blueberry/Ribes/Vitis/Pome/Rubus/Stonefruit/Fragaria
Tomato ringspot nepovirus	Blueberry/Ribes/Vitis/Pome/Rubus/Stonefruit/Fragaria
Tomato ringspot virus	Blueberry/Ribes/Vitis/Pome/Rubus/Stonefruit/Fragaria
Tomato yellow fruit ring virus	Potato
Tomato yellow mosaic virus	Potato
Tomato zonate spot tospovirus	Taro
Tomato zonate spot virus	Taro
Tulare apple mosaic virus	Hazelnuts/Pome
Vaccinivirus cadovaccinii	Blueberry
Wheat dwarf geminivirus A	Clonal grasses
Wheat dwarf virus	Clonal grasses
Wheat dwarf virus A	Clonal grasses
Wheat soilbome mosaic furovirus	Clonal grasses
Wheat soilbome mosaic virus	Clonal grasses
Wheat yellow leaf closterovirus	Clonal grasses
Wheat yellow leaf virus	Clonal grasses
Wild potato mosaic virus	Potato
Zoysia mosaic potyvirus	Clonal grasses
Zoysia mosaic virus	Clonal grasses
